id	NMF.consensus	NMF.cluster.membership
C3L-00017	1	0.953
C3L-00102	2	0.504
C3L-00277	1	0.546
C3L-00589	1	0.891
C3L-00598	2	0.833
C3L-00599	1	1
C3L-00622	1	0.551
C3L-00625	1	0.628
C3L-00819	2	0.802
C3L-00928	2	0.711
C3L-01031	1	0.592
C3L-01037	2	0.53
C3L-01051	1	1
C3L-01124	1	0.731
C3L-01328	2	0.982
C3L-01453	1	0.561
C3L-01598	2	0.764
C3L-01637	1	0.744
C3L-01662	1	0.652
C3L-01687	1	0.938
C3L-01689	2	0.954
C3L-01703	1	1
C3L-01971	1	0.992
C3L-02109	1	0.712
C3L-02115	1	0.997
C3L-02116	1	0.98
C3L-02118	1	0.654
C3L-02463	1	0.696
C3L-02604	2	0.749
C3L-02606	2	0.995
C3L-02610	1	0.617
C3L-02613	2	1
C3L-02701	2	0.945
C3L-02809	1	0.588
C3L-02890	1	0.859
C3L-02897	2	0.571
C3L-02899	2	0.696
C3L-03123	2	0.973
C3L-03356	1	0.883
C3L-03388	2	0.695
C3L-03628	2	0.538
C3L-03630	1	0.677
C3L-03635	1	0.613
C3L-03639	2	1
C3L-03743	2	0.637
C3L-04027	2	0.918
C3L-04072	2	0.88
C3L-04080	1	0.682
C3L-04475	1	0.642
C3L-04479	1	0.607
C3L-04848	1	0.82
C3L-04853	2	0.854
C3N-00198	1	0.948
C3N-00249	1	1
C3N-00302	2	0.53
C3N-00436	2	0.738
C3N-00511	1	0.881
C3N-00514	2	0.737
C3N-00516	2	0.726
C3N-00518	2	0.599
C3N-00709	1	1
C3N-01165	2	0.689
C3N-01167	1	0.93
C3N-01168	1	0.5
C3N-01375	2	0.826
C3N-01380	1	0.949
C3N-01381	1	0.945
C3N-01383	1	0.558
C3N-01388	2	0.635
C3N-01714	2	0.596
C3N-01715	2	0.923
C3N-01716	2	0.78
C3N-02010	1	0.579
C3N-02573	1	0.698
C3N-02579	2	0.853
C3N-02585	1	0.65
C3N-02589	1	0.957
C3N-02592	2	0.705
C3N-02768	2	0.789
C3N-02940	1	0.62
C3N-02944	2	0.647
C3N-02971	2	0.542
C3N-03000	2	0.931
C3N-03006	1	0.817
C3N-03007	2	0.944
C3N-03039	2	0.738
C3N-03061	2	0.981
C3N-03086	1	0.578
C3N-03173	1	1
C3N-03190	1	0.678
C3N-03426	2	0.918
C3N-03430	2	1
C3N-03439	1	0.562
C3N-03665	2	0.609
C3N-03666	2	0.579
C3N-03754	2	0.663
C3N-03780	1	0.878
C3N-03839	1	0.501
C3N-03840	1	0.671
C3N-03853	2	0.521
C3N-03884	2	1
C3N-04119	2	0.824
C3N-04126	2	0.526
C3N-04282	2	0.907
C3N-04283	2	0.986
