sample	cluster	V1	V2
C3L-00017	2	0.16841022349311	0.83158977650689
C3L-00102	2	0.452897274731309	0.547102725268691
C3L-00277	1	0.667045891858915	0.332954108141085
C3L-00589	2	0.138054306217859	0.861945693782141
C3L-00598	1	0.999997723340082	2.27665991802264e-06
C3L-00599	2	0.0718720863808185	0.928127913619181
C3L-00622	2	0.347221607460968	0.652778392539032
C3L-00625	1	0.552654517928335	0.447345482071665
C3L-00819	1	0.733202689405429	0.266797310594571
C3L-00928	1	0.621642470665573	0.378357529334427
C3L-01031	2	0.374856591783462	0.625143408216538
C3L-01037	1	0.587369909177635	0.412630090822365
C3L-01051	2	9.27780778168822e-14	0.999999999999907
C3L-01124	2	0.210442151862427	0.789557848137573
C3L-01328	1	0.976928378576978	0.0230716214230219
C3L-01453	1	0.728526538536198	0.271473461463802
C3L-01598	1	0.66595783411523	0.33404216588477
C3L-01637	2	0.0225554276611308	0.977444572338869
C3L-01662	2	0.110130354839047	0.889869645160953
C3L-01687	2	9.36335748978524e-14	0.999999999999906
C3L-01689	1	0.851621208427379	0.14837879157262
C3L-01703	2	0.157311370140518	0.842688629859482
C3L-01971	2	8.91361983046202e-14	0.999999999999911
C3L-02109	1	0.566483597570981	0.433516402429019
C3L-02115	2	8.72487191454965e-14	0.999999999999913
C3L-02116	2	0.169090799577167	0.830909200422833
C3L-02118	2	0.318453078532442	0.681546921467558
C3L-02463	2	0.345227300055098	0.654772699944903
C3L-02604	1	0.768175172571902	0.231824827428098
C3L-02606	1	0.99999999984554	1.54460193387494e-10
C3L-02610	2	0.41111898647448	0.58888101352552
C3L-02613	1	0.99999999641458	3.58541981534616e-09
C3L-02701	1	0.85121987651258	0.14878012348742
C3L-02809	1	0.568194711708473	0.431805288291527
C3L-02890	2	0.155490942617447	0.844509057382553
C3L-02897	1	0.513787961758938	0.486212038241062
C3L-02899	1	0.797312881934873	0.202687118065127
C3L-03123	1	0.890062555125274	0.109937444874726
C3L-03356	2	0.277635312238433	0.722364687761567
C3L-03388	1	0.615982008919012	0.384017991080988
C3L-03628	2	0.426653510705313	0.573346489294687
C3L-03630	2	0.249985632089352	0.750014367910648
C3L-03635	1	0.631086138726702	0.368913861273298
C3L-03639	1	0.952661863315902	0.0473381366840978
C3L-03743	1	0.666280688297028	0.333719311702972
C3L-04027	1	0.745964578777397	0.254035421222603
C3L-04072	1	0.84722131934614	0.15277868065386
C3L-04080	2	0.19812384434047	0.80187615565953
C3L-04475	2	0.479648636690104	0.520351363309896
C3L-04479	2	0.355201480961313	0.644798519038687
C3L-04848	2	0.377233871794457	0.622766128205543
C3L-04853	1	0.535305835569345	0.464694164430655
C3N-00198	2	0.213077501278911	0.786922498721089
C3N-00249	2	0.0411429074865669	0.958857092513433
C3N-00302	1	0.68655174685218	0.31344825314782
C3N-00436	1	0.685429309681631	0.314570690318369
C3N-00511	2	0.17366513473309	0.82633486526691
C3N-00514	1	0.901638869785766	0.0983611302142344
C3N-00516	1	0.870578476062252	0.129421523937748
C3N-00518	1	0.685606417347223	0.314393582652777
C3N-00709	2	0.0681957805382755	0.931804219461725
C3N-01165	2	0.45192846216922	0.54807153783078
C3N-01167	2	0.10452140449412	0.89547859550588
C3N-01168	2	0.149600428753395	0.850399571246605
C3N-01375	1	0.93886173452326	0.0611382654767395
C3N-01380	2	0.26865756518271	0.73134243481729
C3N-01381	2	6.56595148650636e-09	0.999999993434048
C3N-01383	1	0.592034720637144	0.407965279362857
C3N-01388	1	0.677849482901047	0.322150517098953
C3N-01714	1	0.659649533387889	0.340350466612111
C3N-01715	1	0.959809451342904	0.0401905486570963
C3N-01716	1	0.684482432737458	0.315517567262542
C3N-02010	2	0.291116882174783	0.708883117825217
C3N-02573	2	0.403319164285873	0.596680835714127
C3N-02579	1	0.788857046747449	0.211142953252551
C3N-02585	1	0.562331979566413	0.437668020433587
C3N-02589	2	9.64472123981507e-14	0.999999999999904
C3N-02592	1	0.919314916868661	0.0806850831313394
C3N-02768	1	0.564664647869316	0.435335352130684
C3N-02940	2	0.168514915859177	0.831485084140823
C3N-02944	1	0.634263205336338	0.365736794663662
C3N-02971	1	0.72528147102319	0.27471852897681
C3N-03000	1	0.999999999999915	8.46682031104445e-14
C3N-03006	2	0.0885871214496358	0.911412878550364
C3N-03007	1	0.999999999999908	9.19625545300443e-14
C3N-03039	1	0.50557571075782	0.49442428924218
C3N-03061	1	0.826770883716738	0.173229116283262
C3N-03086	2	0.491019962610207	0.508980037389793
C3N-03173	2	8.92029627834655e-14	0.999999999999911
C3N-03190	2	0.143668507787519	0.856331492212481
C3N-03426	1	0.792408147240415	0.207591852759585
C3N-03430	1	0.999999999999912	8.84610196395288e-14
C3N-03439	2	0.406739432663825	0.593260567336175
C3N-03665	2	0.437682376368197	0.562317623631803
C3N-03666	1	0.652258153541619	0.347741846458381
C3N-03754	2	0.441880688895863	0.558119311104137
C3N-03780	2	0.123016372369007	0.876983627630993
C3N-03839	2	0.452930000692025	0.547069999307975
C3N-03840	2	0.145684588422235	0.854315411577765
C3N-03853	2	0.464563838591024	0.535436161408976
C3N-03884	1	0.991062615691272	0.00893738430872826
C3N-04119	1	0.948427645231527	0.0515723547684734
C3N-04126	1	0.50168615154596	0.49831384845404
C3N-04282	1	0.999999920087218	7.99127823888448e-08
C3N-04283	1	0.999999999808177	1.91823354237221e-10
