C3L.00017	C3L.00102	C3L.00277	C3L.00589	C3L.00598	C3L.00599	C3L.00622	C3L.00625	C3L.00819	C3L.00928	C3L.01031	C3L.01037	C3L.01051	C3L.01124	C3L.01328	C3L.01453	C3L.01598	C3L.01637	C3L.01662	C3L.01687	C3L.01689	C3L.01703	C3L.01971	C3L.02109	C3L.02115	C3L.02116	C3L.02118	C3L.02463	C3L.02604	C3L.02606	C3L.02610	C3L.02613	C3L.02701	C3L.02809	C3L.02890	C3L.02897	C3L.02899	C3L.03123	C3L.03356	C3L.03388	C3L.03628	C3L.03630	C3L.03635	C3L.03639	C3L.03743	C3L.04027	C3L.04072	C3L.04080	C3L.04475	C3L.04479	C3L.04848	C3L.04853	C3N.00198	C3N.00249	C3N.00302	C3N.00436	C3N.00511	C3N.00514	C3N.00516	C3N.00518	C3N.00709	C3N.01165	C3N.01167	C3N.01168	C3N.01375	C3N.01380	C3N.01381	C3N.01383	C3N.01388	C3N.01714	C3N.01715	C3N.01716	C3N.02010	C3N.02573	C3N.02579	C3N.02585	C3N.02589	C3N.02592	C3N.02768	C3N.02940	C3N.02944	C3N.02971	C3N.03000	C3N.03006	C3N.03007	C3N.03039	C3N.03061	C3N.03086	C3N.03173	C3N.03190	C3N.03426	C3N.03430	C3N.03439	C3N.03665	C3N.03666	C3N.03754	C3N.03780	C3N.03839	C3N.03840	C3N.03853	C3N.03884	C3N.04119	C3N.04126	C3N.04282	C3N.04283
NP_000028.3_S781	-0.0479042725940563	0.517118104276117	-0.106716793295997	-0.0125781031451947	0.04989578383989	-0.0796298226857919	-0.271919576942015	-0.0299896986634546	-0.152556834900608	0.142736840272434	-0.00941500438809754	-0.0492882115339238	-0.21791422910723	-0.185760393186614	-0.035683367523972	0.142832809873133	0.0738945217343332	0.140694915624448	-0.143706444631934	-0.0127079320562201	-0.0221427607121594	0.1129356448161	0.222754036642865	-0.107212774797066	-0.135126977219285	0.164266100423234	-0.450951333264061	-0.0505375293188271	0.21974883186086	0.0239776561023581	-0.0647381879049012	0.0801977754825911	0.109257520149695	0.068275627475167	-0.234153600910639	-0.472494704424876	-0.151194765074992	0.0237464441192172	0.125415984608884	0.0197661921748695	-0.355232464116378	-0.0676973727666465	-0.00184548050446142	0.19497290210443	0.134017404113514	0.078189685795697	-0.0671377162754526	0.233494049376411	-0.234044627727135	0.123649331518568	-0.0157468079574044	-0.118148592142578	0.0728633597087038	0.0191314930093773	0.0747909579441545	0.0719570696441503	0.167994287248706	0.03878345663	-0.079886077960361	0.206459519973411	0.169182790443859	-0.0448571234687334	-0.0076648060304337	-0.194794873494967	0.22569959243093	-0.00226677209717099	-0.303069170000318	-0.0575956072883721	0.685953125842979	0.272546588579609	0.262125437221823	0.0820937874157041	-0.148136847692423	-0.109952034679346	-0.242358621258663	0.103512368581788	-0.207903992889579	0.279681120343041	0.0549994462718624	0.170024012927002	0.174769331796798	0.111538297570485	0.259027478797507	-0.0388372255051482	0.197322390796369	-0.00575560962090677	-0.0280914077906992	-0.25979097092972	-0.270438927130713	-0.0226388438828405	0.448541405477758	0.309572623466595	0.0115501770410517	0.0663188300450404	-0.0872252240030532	0.263489497056843	-0.147894873714525	0.0520447563412268	0.286843820650117	0.397194719119458	0.1557355926737	-0.108237269694668	0.0308058329853583	0.0871921459143666	0.480924532501792
NP_000028.3_S834	-0.0673175433550985	0.260905878006886	-0.0122000740408976	-0.110998413595432	0.0812652859884614	-0.218089145827202	-0.296193256343294	-0.0081639186602183	-0.239884038900441	0.163382359165129	-0.00826486873846873	-0.0432096189342112	-0.148731118264793	-0.172625807606559	-0.041862370954074	0.0570374527684972	0.0357249723533675	0.140554633276189	0.00444105905961564	-0.00646180718651726	-0.000774675495223253	0.00225694518506695	0.235433717977774	-0.228137553570461	0.0582669096856785	0.0737424646026611	-0.149226085461685	-0.104039138777517	0.168340665496282	-0.0242454287132787	-0.229693241325625	-0.0207354836268651	0.0701046209533009	-0.0926067260368731	-0.246973852672598	-0.338731470630358	-0.0861214073098184	0.0304936741220723	0.0431604796884281	0.0461541913518	-0.221678950411713	-0.143368200731849	-0.0631236435713291	0.154972778938488	0.0470247819733083	-0.131588662260467	0.0720943228292466	0.185054716544932	-0.276913906204439	0.0125144094086688	-0.143850901743089	-0.155243982363639	-0.029065722722704	-0.0601186416802896	-0.0306801046496698	-0.0365188313346828	0.105346928982881	-0.00273625165409491	-0.156895858602163	0.118636971023743	0.0265836013526893	0.0631715785877499	-0.0190976787050535	0.0197986562448023	0.0756746924340009	-0.039516427118096	-0.0761062771972461	-0.0994544293387014	0.477905979106022	0.119139568623287	0.25058506612152	0.060829532543722	-0.10838332667504	-0.184289664659009	-0.117974503609245	0.046098552099098	-0.133004793225147	0.159620296768433	0.178023097070031	0.164856153476771	0.075751956513161	0.063908742526827	0.048390046588853	-0.129130812897122	0.122772490939858	0.101864684167333	0.0193321445237462	-0.363817552677012	-0.277063191911214	0.045839463940071	0.339326333382883	0.169697634818839	-0.0919017437589507	0.10564683845474	-0.100917279794262	0.232227870000016	-0.165053374743864	0.0584942154766842	0.243354522845795	0.306802841536507	0.110899560300013	-0.0897509296537624	-0.113520378085281	0.0280134324900892	0.268085935280154
NP_000072.2_S2105	0.087016257440992	-0.114396808285925	0.00990690762462856	0.0866304425034354	-0.131409175980013	-0.0581736731800744	-0.258623716223055	0.0306923742784514	-0.00763336837090826	-0.187982503862892	0.122368216941307	-0.187950033482562	-0.0859712565737928	0.0974529226503521	-0.119941924904383	-0.032966540368001	-0.283733730223552	0.0678124471253672	-0.0286485013804667	0.120367200635673	-0.139053082852174	0.0303227527691764	0.0493504083800753	-0.000534421434293206	-0.117134720213482	-0.0643525849269619	-0.0324426291673813	0.0335459807078629	0.0538997106501924	-0.0575318428218103	0.0362831397510543	0.0569811989756589	-0.140002833219157	0.053932991396849	-0.08722875884126	-0.00724514970609381	0.143246078091558	0.222620061524454	-0.0218539236885776	0.0546909573720929	-0.0681013018765414	0.0638989803029559	0.0306307381725998	0.116134022042433	-0.0273424583220757	-0.0211272923749272	0.0587710952339434	0.0197268794869554	0.0328660191056155	0.0354840888424423	-0.0265761857371717	-0.197942064369069	-0.0642901253392121	-0.01927127687064	-0.124812422798512	-0.448900212065115	0.0305229061535735	0.00841338566599582	0.0322616101735807	0.126773064993841	0.00188274907796901	-0.556033256528903	0.00261581606057979	-0.321489981645064	-0.0271443126929106	-0.104599119719341	-0.0904466300198754	-0.0656421791790042	-0.0567216526808535	-0.0569655233698983	0.0443859625640032	-0.255647555795063	0.0728923617078859	0.00387785801661223	0.0174851205497927	-0.0557160911263032	-0.0169070189764908	0.0310388365241813	0.0122157713169499	0.00771939979416907	-0.085784328257198	0.0238991925546535	0.0178224414616237	0.045565088273104	0.0350235452787413	0.0624571693524621	-0.0369511205763322	0.0771094093047919	0.0477315464627845	0.0587253095263304	-0.00808285932462169	0.0971330177172446	0.117929313659558	0.161494183648676	-0.00252472281274596	-0.0650457295832362	-0.0304412891188094	0.112708947523419	0.0062865214602186	0.037182975232934	0.00415235836859466	-0.0252608526106984	-0.00913583798617472	0.0452993005241296	0.0666372225524632
NP_000090.1_S43	0.0924944709272877	-0.0103000719980732	0.253326636259885	0.0135054213825499	-0.0988547137072206	-0.0126831904927185	-0.0563166151854465	0.00987325766885131	-0.0354845497387619	-0.0650264271941723	-0.0271197911266316	0.136632502455097	-0.0348029280716021	0.244976392088657	0.0482406747056363	-0.00757749010431342	0.0897875747265102	-0.151399301208521	-0.164334383433438	0.114563685144105	0.073713774599277	0.065583434161881	-0.174726664066426	0.0437077256693319	-0.0892464497690237	-0.134464448383885	-0.118901725080238	-0.0421311023943062	0.102980873866361	0.071271467823841	-0.0072474125788286	-0.00927462071890262	0.0488743834228125	0.0786406017122583	-0.120598019100154	-0.0794684115254538	-0.0410102687544071	0.0374793232095696	-0.00872800312008383	0.0391942094589485	0.0527228992860852	-0.153826144628591	0.0213601406013747	0.0969905370166635	0.0515946026488374	0.0195883034319869	-0.00294276175228858	-0.0956440171039335	0.0423584548304549	-0.0452504307302821	-0.0236169715067194	0.0522043675740367	-0.0196239778554634	0.00826975658747592	-0.112007948057956	-0.0181783079070503	-0.0810520912781124	-0.050555038925882	-0.0218393112228035	0.0957497625185294	-0.00675222353359797	0.00304817995171616	-0.0511951831945334	-0.0209152995684201	-0.0759499396449634	-0.0460884669939942	-0.150289767002349	0.0586526044536301	-0.0347806053919526	-0.031736081713104	-0.00357283120166056	-0.0722556919060144	0.128613250380941	-0.034523398155094	-0.0330073687675816	-0.0233743494384727	0.0949110237190777	-0.0864540941932518	-0.0240286967773961	0.0193147701269773	-0.199882456110194	0.0292288484559252	0.0550889725305314	-0.0543032954259196	0.158503080517501	0.120423208877206	-0.141977764288115	0.0414903671442509	0.127824065934078	-0.074242464095998	0.102820218534386	0.0999293096128461	0.0577369446822596	0.0963388750881838	0.10225050193462	-0.0489939226998327	-0.0710858387793974	0.0375376929200278	0.0985664395976215	0.150206702511306	0.0335494064670952	0.108377853203228	0.175564194271755	0.0469124594322039	0.185895547542445
NP_000098.1_S26	0.0448992784207467	0.0354969292611622	-0.0755446541689581	0.00378461360385499	0.0224412582013262	-0.205932681899024	-0.068084985842803	-0.00525155625565787	0.103381532337227	0.0378654870212874	0.0520692873863651	-0.0319674894732736	0.0289927689320891	0.103927089037118	-0.018321283753197	-0.00857094626385447	0.0768614320652144	0.070646656060171	0.0571449974474314	0.0892033145427316	0.0565633070701326	-0.0249658355669344	0.0756358686275297	-0.00290860032555105	0.0743763660571164	-0.110744689201445	-0.0415819887902796	-0.00398150003720736	0.0148266639226606	0.0219778106620129	0.00315161043501504	0.0989513872713679	-0.0310240780694122	-0.00554002883403464	-0.0606786358300649	-0.110428694257569	-0.0331620659129439	0.103712702377056	-0.0671955938728461	0.0780085257571266	-0.0432083725881358	-0.0361820896507966	-0.0818571095365996	0.0394433062658253	0.0414420262051069	0.0334621672501871	0.142419539481972	0.0357419199113347	0.0589792103485858	-0.0488327746313459	-0.0846564729986486	0.015060035209731	-0.102421220718645	-0.0292944763978458	-0.0734593903908171	-0.0950050203629093	-0.0200485925179275	-0.00400594556460375	-0.0745704349144127	0.0481746734241765	-0.0428566414016757	-0.025046504248358	0.00200369396394115	0.0433415198067989	-0.0319718561083985	-0.121523414234879	-0.0808606702747626	-0.0433229460063193	0.00053870317169086	-0.0516819657587678	0.0762207650997907	0.0153588912989444	0.036053012440762	-0.0341212280600075	0.0149163102645839	-0.088816247803931	-0.0415953505031537	-0.024002173930621	0.106919125000352	0.0592137788388117	-0.0592681007083814	-0.0113269179021166	0.0116766186680643	-0.073345850661788	-0.0247006642381924	0.0981500071701192	-0.0354129234803021	0.119859925312877	-0.071542390848662	0.0303478055139634	0.0955517085089042	0.083649732576081	-0.013360052320939	0.111292230397698	-0.026789770639223	-0.0227828774167348	-0.0751544746148108	0.0365764322981516	0.138662823078307	0.00550434319134043	0.117344823858151	-0.0391591922346417	-0.0205059933721125	0.0145541597104777	-0.0272174391853437
NP_000100.2_S3544	0.0539119609570693	0.0100193700667605	0.161088367718139	0.081675639392617	-0.0550043462667942	-0.0169835660680454	-0.212300538021679	0.0105607752531608	-0.146984395499609	-0.0159692091731119	0.00676644491592136	-0.033370211828647	0.0768057062774021	-0.117312080138676	-0.0185565518576126	0.0411662962069082	-0.0685592280458368	0.0625263443104965	0.0599003140023707	0.0841581561233174	0.0177593019720952	-0.0966129523444994	0.177952828651969	0.0025947667102176	0.0495305722199366	-0.0938079979270225	-0.0885085547566186	0.0181340938418669	0.0219639458942259	0.0480035110280006	-0.114924610300456	0.0620296578103984	-0.0653545249331649	0.0262161096513282	-0.128106085364117	-0.200655729714331	-0.19796091235412	0.139888482568615	-0.153226319671747	0.0850506245793968	0.167719100650753	-0.0278861570849174	-0.0160577522222659	0.102150360296956	0.0462760445751167	-0.104403194095299	0.0665526693411954	0.0291422589708416	0.125534612435445	-0.0430615912404655	-0.036270952182376	0.0604726389450032	-0.0918861111048184	-0.0274798117106077	0.0205642307555197	-0.087557154760571	0.0290245335834022	0.0532975381054514	0.0674170596437024	0.00624648444172557	-0.104049032679522	0.0471088286323251	-0.0349963324469729	0.102359884266613	0.0215935097477926	-0.168040129848778	0.0543162245816109	-0.129085430352115	0.103318515460589	0.0297245150179935	0.0497335579298847	0.010390875422989	0.0224074453307798	-0.18859000206653	0.0113151195026558	-0.11524967671086	-0.0934017999683843	0.0712643622461016	0.111900473758467	0.0681617396396813	0.00101727910645993	0.00137608504592879	0.034238029489731	0.0075459114232378	0.041731871391353	0.0149331398720359	-0.0541420508781869	-0.169132677071374	-0.0514589597291581	0.095770188504411	0.108142532583666	0.0743333915230069	0.0274680983317931	0.0448989068374969	0.0277272986247508	0.0441650080974658	-0.0327262315146965	0.0594790589238284	-0.0373810703771988	-0.0133703863653846	0.100722397941797	-0.00573664833430264	-0.0484085385854851	0.0334911520620452	0.117323941756075
NP_000108.1_S49	0.0135020036877199	0.0213776536447463	0.0810691869383206	0.0554531285356631	0.0111693112211745	0.0717348877266381	-0.125789367626101	-0.120197462857435	0.0312874057566398	0.0583956177488389	0.136051914427868	-0.0885899087572402	-0.0308721411544765	0.0215730401476907	-0.0143535080730987	-0.0477519979413837	-0.0585042653087716	-0.16862343468536	-0.0577330974126953	-0.022250082236623	0.106763819543173	-0.0260464952580224	-0.0567842923971288	-0.0170997558856192	0.0217874998070097	-0.0630919284471841	-0.116738921750496	-0.0774396221112662	0.00939155424991139	-0.00469633715461354	-0.0253650081630607	0.0833629858597252	0.111324449447689	0.0115213789019689	-0.244143223977012	0.0137848929176457	-0.0158917504803294	0.119493284171902	-0.0497754834447033	0.0683487951317083	0.0570623750706609	-0.0459847043101996	-0.123861172739507	0.103113876249075	-0.0152983542703326	0.064756346242358	0.0592875509224597	-0.02157216214144	0.000104459382069219	-0.00861881155195155	-0.0925024201769103	-0.00724941022061917	-0.0710595957231566	-0.0495764994879424	-0.0550050589278082	-0.0357422568718176	0.0983635057260964	-0.00327886169290273	0.029053226296081	0.048149473181567	-0.138074061207798	-0.0926059989634383	0.0759405385117625	-0.0448034595017292	0.0782209822668136	-0.0642195845734848	-0.118855508156166	-0.0242895654027839	0.011628479011467	-0.0479939879433677	0.0650660875685401	0.00517961530494623	0.0811428911601978	-0.0589161353488558	0.108623928526918	-0.096316945801136	-0.0479785280125796	0.0167324536606409	-0.0408404107078493	0.0243417817235436	-0.0722154439639027	0.0170940005261575	0.0323726157770316	0.0638675137967941	0.00982128936082918	0.109375005555781	-0.0387889242678117	0.0487360211793103	-0.0571037322580559	-0.0671759145579969	0.128408180752062	0.0664372579511348	0.200210143286292	0.102169331383763	0.0232497889386317	-0.126455554835862	0.0125395512428564	0.09926252312953	-0.0246965501408462	0.0256165969219683	0.116716924168542	-0.00889303503182721	0.0146454650335443	0.0959677667269562	0.0847408669888057
NP_000129.3_S2702	0.0261706318614336	-0.0132382512914207	-0.0598307377875096	0.0099464740319646	-0.188177316325351	-0.161529581969264	-0.172845719542951	0.140509122935553	0.153830631616509	0.177948895596442	-0.0055189004653134	-0.0898020997658541	-0.0790693425817655	0.0727438333093212	0.0367882857859772	0.0398197492324022	0.144450033251092	-0.12389273130807	-0.165454239703764	0.076615896994724	0.184785440763743	0.0848512497586235	-0.0653015888983301	-0.0123558569131713	-0.1587622974199	-0.0607250261905692	-0.0839470149398685	-0.0243496909313637	-0.0621583875525963	0.139591814519473	-0.0255343445634411	0.024828238782365	0.257337361646611	0.0549993442206704	-0.171641255378726	-0.111663065337928	0.161457057455222	0.0442582351595587	0.0311232807299597	0.0903653234790424	-0.0385379573103509	-0.00584103555053324	0.0536705997420985	0.0415526716518774	-0.0573520623246657	0.0317249841775296	0.0498167787897203	-0.0740950112990607	0.000759254194035386	0.157746139182452	-0.0168501340914436	0.211286855376243	-0.0818497728919739	-0.160804466639801	-0.0640217770302021	0.0662112679447052	-0.106349273156999	0.0204706450593694	-0.02514808745752	0.12432591057666	-0.136562697841356	-0.0125121681114897	-0.0267608171489369	-0.00742136775029224	0.127154485502036	-0.0231439483071624	-0.232930977531646	0.0284063179452736	-0.0124568838602126	-0.0391480185647258	-0.0203100123746636	0.061097950583076	-0.0233123166338432	-0.0488935790642818	0.0746890488370103	-0.111842386828421	-0.0514987721248598	-0.0514043742103917	-0.0411929141649775	0.0094564125623234	-0.02968783660412	0.0340349801967037	0.0612528430458563	0.176653549804097	0.0430100513222939	0.111083541631702	0.1115318901893	0.148166697606831	-0.048547565822452	-0.00693570459404359	0.0330053444401982	0.0644819829834104	0.135924570985058	0.0984283050514475	0.104545247340571	-0.0280537986799427	0.0346331595103651	-0.0414624070742111	-0.0781569497370936	0.0961582773080798	0.232390811148015	0.352715066073564	0.0420217585321859	0.140944705867355	0.105124104252253
NP_000169.1_S415	0.0834348242372865	0.00870028884640414	0.0809230050002707	-0.0598660421314764	0.101201070641033	0.0867752477999921	-0.128281102846621	0.0846048636837588	0.0513850356649426	0.0183935729654189	0.103320148585137	0.132677562245303	-0.254434665237355	0.035328565673512	-0.0504427962616556	-0.0651428595896355	-0.0701500607800616	-0.131957447775467	-0.1004408658335	-0.0127079320562201	0.0574468311120819	-0.0417433681648582	-0.166760203576594	-0.0333211074354874	-0.26211047494573	-0.0227810764579023	-0.0949470468559843	0.0500195262643196	0.177591193918396	-0.0256418254955423	0.039237416364257	0.0327940363070327	-0.227994293946805	0.0528744487143521	-0.160573907525	-0.0409043239640153	0.0851205543573896	0.142221779971993	0.0076464365637779	0.115394941213606	0.0842148898363523	0.0193743697055132	0.024918813847849	0.149028729645651	-0.108783159674694	-0.14564617498138	0.0911672035279367	-0.196693688027427	0.0171250691474309	0.0256433069425239	-0.178501199152174	-0.184655569637075	-0.0767969834834416	-0.0292581041781128	0.0535816244101409	-0.167409519874109	-0.00757578996598465	-0.00725077254388478	-0.037955141900364	0.0614224571594817	0.00923536798995571	-0.279481145090208	0.0517780044068254	-0.202845771065921	-0.0196131578797554	-0.0532915952124591	-0.429465034427075	-0.0346187453563191	-0.115435003010531	0.0409487396605108	0.0763598801884262	-0.0558745524650299	0.249184658625622	0.0846884590895524	0.0829590615127103	0.0593924378448617	-0.00972737792596334	-0.00266166901362005	-0.0651360234132074	-0.0573918741143861	-0.0616103272863815	0.0270096416452475	0.0207045527450705	-0.0176014375447219	-0.0189334381555884	0.0786050184022135	-0.0839751165213995	0.0842699812615693	0.0196622160510474	-0.0383631460969736	0.0486382780820701	0.160576356666368	0.0913392681163154	0.110161348144422	-0.0549337326007301	-0.177518121468137	-0.181243175604375	0.110857874950213	-0.0336357259938199	0.0748814871259379	0.0270630615937991	-0.0728851722453431	-0.0698587283827068	-0.0285176798210189	0.020918889298269
NP_000215.1_S30	0.074476575283112	0.0293754656915896	0.0845834271502415	0.021678150218301	-0.00786140487854763	-0.137657224795198	-0.100362994191674	-0.0349746607780172	0.0196263861845262	-0.0476669758260105	-0.0169249369767412	0.129050149090755	0.000581130607927282	0.0254323841408008	0.065748140363149	-0.0340977534043622	0.0740177893074114	0.011392841379402	0.0102796577601856	0.0314604651593923	0.273773719278211	-0.236856586418115	-0.145309680685686	-0.0371409111251481	-0.0226097731219102	-0.201921741442992	-0.111819729390135	-0.0175092099009763	0.170818227958319	0.00636537582129366	0.0435639166668003	0.0589843698210164	0.0591542958353777	0.180353117294126	-0.228220690094779	-0.0590211979533015	0.0962920825622789	0.143018211845479	-0.0527175005222573	0.021382698411347	0.352578253103437	-0.0132033139757174	-0.120975411322427	0.253950461394046	0.0894658025548957	0.151688633290805	0.0699352045354196	0.0950078651530777	0.027621464667984	-0.00181396610200965	-0.0930175741670436	0.122682103523441	-0.245219112145848	-0.0341884158253979	-0.151345535442181	-0.104971058450718	-0.0018322952727239	-0.170730803105054	-0.0973946578752346	-0.0748230472272342	-0.128328255081639	-0.0907936071288821	0.0318638988794134	0.0529702875849695	-0.019649168426614	-0.0909876302085229	-0.0465756409625449	-0.137967150259262	0.100109688307634	0.0771922207731254	0.0509135671982512	-0.0513727989120863	0.132489609393885	0.105780525212232	0.0611640246482889	0.044807668061567	-0.0790334987133517	-0.0619516713621399	0.224761071224894	0.00411432493273486	0.187009577965636	-0.0916843875861306	0.0606019831568867	-0.0238520479732326	-0.00794628684710965	0.132065288487136	0.0719073239504017	-0.0373623581580336	-0.0430381040413177	0.0152642509569355	0.0953029392453857	0.11181906855806	0.149482087800414	0.0292438463210323	-0.0297371254882761	0.0525415321180308	-0.0565395436696168	0.0288957827299363	0.140084048255981	0.069679847414319	0.0894200589594263	-0.00307953279686234	-0.032089761108524	0.102924040011067	0.0780001392163227
